Date,Sales
2021-01-01,1113
2021-01-02,1075
2021-01-03,1036
2021-01-04,1172
2021-01-05,1163
2021-01-06,967
2021-01-07,762
2021-01-08,748
2021-01-09,1247
2021-01-10,1207
2021-01-11,899
2021-01-12,1133
2021-01-13,1105
2021-01-14,1012
2021-01-15,898
2021-01-16,1204
2021-01-17,810
2021-01-18,819
2021-01-19,824
2021-01-20,1080
2021-01-21,1292
2021-01-22,1391
2021-01-23,1675
2021-01-24,990
2021-01-25,430
2021-01-26,930
2021-01-27,1375
2021-01-28,1250
2021-01-29,1215
2021-01-30,1140
2021-01-31,974
2021-02-01,820
2021-02-02,1316
2021-02-03,1223
2021-02-04,1074
2021-02-05,1477
2021-02-06,1472
2021-02-07,1087
2021-02-08,810
2021-02-09,1232
2021-02-10,1159
2021-02-11,1339
2021-02-12,1038
2021-02-13,1160
2021-02-14,1169
2021-02-15,1138
2021-02-16,809
2021-02-17,1166
2021-02-18,1605
2021-02-19,1331
2021-02-20,1355
2021-02-21,1303
2021-02-22,995
2021-02-23,1111
2021-02-24,1093
2021-02-25,1235
2021-02-26,946
2021-02-27,1427
2021-02-28,1122
2021-03-01,1304
2021-03-02,1135
2021-03-03,1110
2021-03-04,1110
2021-03-05,1072
2021-03-06,990
2021-03-07,1327
2021-03-08,1243
2021-03-09,1481
2021-03-10,1393
2021-03-11,1070
2021-03-12,949
2021-03-13,1337
2021-03-14,1355
2021-03-15,1473
2021-03-16,1755
2021-03-17,922
2021-03-18,1406
2021-03-19,855
2021-03-20,1191
2021-03-21,916
2021-03-22,979
2021-03-23,1217
2021-03-24,866
2021-03-25,1097
2021-03-26,1083
2021-03-27,1461
2021-03-28,960
2021-03-29,887
2021-03-30,1036
2021-03-31,1121
2021-04-01,1013
2021-04-02,1179
2021-04-03,1163
2021-04-04,1475
2021-04-05,1516
2021-04-06,1369
2021-04-07,1179
2021-04-08,1358
2021-04-09,1262
2021-04-10,1196
2021-04-11,1097
2021-04-12,1306
2021-04-13,1653
2021-04-14,1303
2021-04-15,1200
2021-04-16,1203
2021-04-17,1094
2021-04-18,1150
2021-04-19,1127
2021-04-20,1224
2021-04-21,1161
2021-04-22,1210
2021-04-23,1166
2021-04-24,1384
2021-04-25,1313
2021-04-26,1236
2021-04-27,1288
2021-04-28,1488
2021-04-29,1511
2021-04-30,1405
2021-05-01,1239
2021-05-02,1279
2021-05-03,1680
2021-05-04,1670
2021-05-05,1266
2021-05-06,1354
2021-05-07,1505
2021-05-08,1215
2021-05-09,1264
2021-05-10,1395
2021-05-11,1536
2021-05-12,800
2021-05-13,1150
2021-05-14,1382
2021-05-15,777
2021-05-16,1032
2021-05-17,1107
2021-05-18,1332
2021-05-19,1194
2021-05-20,1194
2021-05-21,966
2021-05-22,917
2021-05-23,1445
2021-05-24,947
2021-05-25,1239
2021-05-26,1338
2021-05-27,986
2021-05-28,1171
2021-05-29,1104
2021-05-30,962
2021-05-31,1238
2021-06-01,1277
2021-06-02,1448
2021-06-03,1632
2021-06-04,1146
2021-06-05,1094
2021-06-06,1028
2021-06-07,861
2021-06-08,1449
2021-06-09,1000
2021-06-10,1220
2021-06-11,1298
2021-06-12,694
2021-06-13,1010
2021-06-14,1093
2021-06-15,831
2021-06-16,1154
2021-06-17,1230
2021-06-18,1014
2021-06-19,1332
2021-06-20,1440
2021-06-21,1489
2021-06-22,1155
2021-06-23,1177
